tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc
DJI,NASDAQ,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0,0.006798235956461,0.0012102046563724,0.0044234635972333,,0.0048351997061523,,
DJI,NASDAQ,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0,0.0063986036449959,0.0008085954788656,0.0034731642201924,,0.0048376332725341,0.5209861693090183,
DJI,NASDAQ,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0,0.006958301434177,0.0011553246382903,0.0036717339416526,0.0062305152517927,0.0045137060793071,,
DJI,NASDAQ,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0,0.0064875182904862,0.0008561955397748,0.0030287202061465,0.0053551633446781,0.0047966908964543,0.5765168592139879,
