tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi,mark,,,0.0752362340991781,0.0850750242544858,0.0610528362869856,0.0675248100897856,0.0159982658584955,0.0057770508082371,,,,,0.1133829975486076,0.0876510935205707,0.00071074822319,0.0009363983589759,0.0141608481919078,0.013732928492531,0.2561167373291142,1.764701654542213,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi,unmark,,,0.0727241184228621,0.0783661249692305,0.0605648805656217,0.0654590577975235,0.0141556022309622,0.0053021617796102,,,,,0.1173805240547197,0.0910009927277996,0.0006707358892996,0.0009160543831672,,,,,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,,,0.0555827448178177,,,0.0625799271311821,0.007552936214009,0.0078102553377896,,,,,0.1149974378944252,0.0794156603459445,0.0007595715254874,0.0009704920227042,0.0157288095378811,0.0201614158315484,0.3078271507797213,1.6327517386504158,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,,,0.0546307120424422,,,0.0590373496137753,0.0074049488021179,0.0068759628791172,,,,,0.1173805240547197,0.0910009927277996,0.0006707358892996,0.0009160543831672,,,,,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,ci,mark,,,0.0551439517729652,0.0631027114313379,0.0551439517729652,0.0631027114313379,0.016780139192539,0.0060595685046728,,,,,0.1149220187887586,0.0930291138570785,0.0007226590977453,0.0009543227557229,0.013168291538107,0.0144808480104015,0.2747805690635825,1.5368013725896632,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,ci,unmark,,,0.0507786612736362,0.0535158794130636,0.0507786612736362,0.0535158794130636,0.0141431747088552,0.0053990143129999,,,,,0.1173805240547197,0.0910009927277996,0.0006707358892996,0.0009160543831672,,,,,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,ci_s,mark,,,0.0187730764668759,0.0187730764668759,0.0187730764668759,0.0187730764668759,0.0096901803118213,0.0096901803118213,,,,,0.0691971030834266,0.0691971030834266,0.0005702038944827,0.0005702038944827,0.0126287012943996,0.0126287012943996,0.3547348587828379,0.3547348587828379,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,ci_s,unmark,,,0.0182692294356123,0.0182692294356123,0.0182692294356123,0.0182692294356123,0.0092037128085268,0.0092037128085268,,,,,0.0733133637641114,0.0733133637641114,0.0005461167239048,0.0005461167239048,,,,,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,False,bi,mark,0.0021581928564134,0.0022267621917759,0.0824336860935112,0.0885700513381854,0.077432459231157,0.0712665191498184,0.0164992417891657,0.0056855191755439,,,,,0.1128731405278625,0.0880380512217263,0.0007145082236194,0.0009280557151668,0.0152229310803354,0.014638692144668,0.2659594391590642,1.9944702306345097,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,False,bi,unmark,0.0022589633299496,0.002293994795079,0.0763380778050359,0.0746005163625045,0.0747854948416306,0.0670723674921773,0.0139407146675381,0.0052276320053728,,,,,0.1173805240547197,0.0910009927277996,0.0006707358892996,0.0009160543831672,,,,,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,False,bi_d,mark,0.0024586149165653,0.0022212042303145,0.0707704885005234,,,0.0774690959425695,0.0074816697840887,0.0078340595489165,,,,,0.114572979774064,0.0973832587381885,0.0007497701991462,0.0011275132365891,0.0162025744070921,0.0226794536801049,0.2933508021707577,1.682822028236753,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,False,bi_d,unmark,0.002451969070566,0.002378477574299,0.0693413172459198,,,0.0717049999460751,0.0073462893098924,0.0068299565978522,,,,,0.1173805240547197,0.0910009927277996,0.0006707358892996,0.0009160543831672,,,,,,
