tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi,mark,norm,both,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi,mark,t,both,0.2499966322986593,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi,unmark,norm,both,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi,unmark,t,both,0.256639416569849,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,norm,both,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,norm,left,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,norm,right,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,t,both,0.2343410071753721,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,t,left,0.1505149095824159,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,mark,t,right,0.1264109266339098,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,norm,both,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,norm,left,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,norm,right,,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,t,both,0.137618677012888,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,t,left,0.1519200903806457,
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,bi_d,unmark,t,right,0.1313373913571705,
