tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc
NKX,TSX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0,0.0076028038972291,0.0027870868780712,0.0086832137228377,,0.0081357841676333,,
NKX,TSX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0,0.0071489687639627,0.0014889591041915,0.005541832197124,,0.0077067694559042,0.3112754225780496,
NKX,TSX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0,0.0077926092946468,0.0027832108824999,0.0071157599121453,0.0113844617381034,0.0078988867675757,,
NKX,TSX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0,0.007168904129529,0.0016249713068818,0.0046040508797641,0.0078823357211709,0.0076557165428289,0.3404643899371021,
