tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,mark,0.0021946533135937,0.0023627371342912,0.0727553994774086,,,0.0779355641222254,0.0353744307492512,0.0137978207801596,,,,,0.0999905993655951,0.1210691267560286,0.0027578428417286,0.002102155622151,0.0410441957458084,,0.3446545765149324,0.4187587681213424,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,0.0022210023111052,0.0023644813725224,0.0718911306069707,,,0.076250217478851,0.0305439811774661,0.013149913396066,,,,,0.1012228061794388,0.1205136138809012,0.0024408820192693,0.0021204748188154,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci,mark,0.0028905448301173,0.0028905448301173,0.0534705340293818,0.0554783656708083,0.0534705340293818,0.0554783656708083,0.0527874610998695,0.0122224723857573,,,,,0.0996647676227831,0.0978607170969345,0.0025534408331873,0.0016644063743352,0.0342516781528564,0.0293205523804372,0.31897191784225,0.2972682542251149,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci,unmark,0.0028999518111113,0.0028999518111113,0.055183125742172,0.0573182732077842,0.055183125742172,0.0573182732077842,0.0523824938639234,0.0135940314209403,,,,,0.1012228061794388,0.1205136138809012,0.0024408820192693,0.0021204748188154,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci_s,mark,0.002812367152759,0.002812367152759,0.0311033263215094,0.0311033263215094,0.0311033263215094,0.0311033263215094,0.0201203394638373,0.0201203394638373,,,,,0.0743295779471055,0.0743295779471055,0.0014892953185308,0.0014892953185308,0.0298391979525849,0.0298391979525849,0.4108821544164806,0.4108821544164806,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci_s,unmark,0.0028706605893291,0.0028706605893291,0.0295648987337723,0.0295648987337723,0.0295648987337723,0.0295648987337723,0.0179287031547212,0.0179287031547212,,,,,0.0775825828061116,0.0775825828061116,0.0016015641408997,0.0016015641408997,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi,mark,,,0.0484621140959412,0.0623548346563668,0.0502230696155938,0.0551953414388212,0.029640763073614,0.007082049872333,,,,,0.0769596860171838,0.0620198967337939,0.0013655354192018,0.0009761370554766,0.0155688670938382,0.0163199146268861,0.8739651218960602,0.3530010677462493,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi,unmark,,,0.0485937194125252,0.064837372307197,0.0527973540654501,0.0591382091550868,0.0280439021793685,0.0069836186372361,,,,,0.0782372332844798,0.0836841435898521,0.0013771110818865,0.0012076790731748,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,,,0.0445538355801367,,,0.0513578587755816,0.0188157513240941,0.0099748172931643,,,,,0.0780108671525051,0.0823294063590687,0.0014211737217173,0.0014080974620108,0.0181781638555176,0.0260532205658298,0.3607941092786811,0.3496915255453721,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,unmark,,,0.0444025072877416,,,0.0503994082993671,0.0175621105775611,0.0094794908920075,,,,,0.0782372332844798,0.0836841435898521,0.0013771110818865,0.0012076790731748,,,,,,
