tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.175,0.1028129185342431,-0.0393691811285313,-0.9925445480559236,0.9925445480559228,0.743346000663533,0.7219573633441556
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.175,0.1115837754700816,-0.0361244609202379,-0.9345892910734802,0.93458929107348,0.5709811202765761,0.5770809120405842
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.175,0.095651719572665,-0.0456897645502131,-0.9925445480559236,0.992544548055923,0.7314241924051113,0.725635864137575
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1875,0.1049897552981578,-0.0334421907851574,-0.887146559018876,0.887146559018876,0.5859819842565076,0.5663980243180107
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1875,0.0967637481655386,-0.0421503571126489,-0.939438630186346,0.939438630186346,0.7500400590528431,0.7305539617136125
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1875,0.1042831899134037,-0.0360179418774151,-0.887146559018876,0.887146559018876,0.5769269209714977,0.5786649326783944
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1875,0.0892698648568899,-0.0498695331107448,-0.939438630186346,0.939438630186346,0.7392546097569852,0.7372628848894103
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.2,0.0966585346251471,-0.0336234111798131,-0.8416212335729142,0.8416212335729143,0.5944040071334233,0.5679811548926613
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.2,0.0848853709703076,-0.0439698887377904,-0.8888895177669741,0.8888895177669746,0.7697051753369017,0.7370059095453085
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.2,0.0982161325530763,-0.0389206226758918,-0.8416212335729142,0.8416212335729143,0.5812311413854474,0.5851348324402834
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.2,0.0835393916005441,-0.055012430500835,-0.8888895177669741,0.8888895177669746,0.7463306761106251,0.7517473447889034
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.2125,0.0878762113566374,-0.0356985189633131,-0.7977768461252381,0.7977768461252381,0.6042106099795161,0.5732404479942659
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.2125,0.0824296552934798,-0.051120370696497,-0.8405648446930499,0.8405648446930498,0.7707361465893844,0.7571210812543666
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.2125,0.0872858086495739,-0.0414739767479901,-0.7977768461252381,0.7977768461252381,0.5939994255517147,0.5912090931648509
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.2125,0.0775404787794401,-0.0604176148707664,-0.8405648446930499,0.8405648446930498,0.754969771121548,0.7677322250265954
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.225,0.0811417974530527,-0.0411823987923509,-0.7554150263604693,0.7554150263604693,0.6115913622407674,0.5843892371057277
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.225,0.073103211868136,-0.0544515103863235,-0.7941884700484426,0.7941884700484428,0.7871706252392667,0.7687192303925914
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.225,0.0806096019656854,-0.0460911778244846,-0.7554150263604693,0.7554150263604693,0.6011095773392758,0.6010326755402687
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.225,0.0691560166359417,-0.0660715055201976,-0.7941884700484426,0.7941884700484428,0.7692474686412125,0.7853027398430135
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.2375,0.0733648888184104,-0.0445438780487695,-0.7143674402801876,0.7143674402801873,0.6212964636221714,0.5924282842380162
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.2375,0.0691920132422027,-0.0579155146403996,-0.7495281896256518,0.7495281896256517,0.7928677834719211,0.7812743862671723
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.2375,0.0755780067829952,-0.0535659367555617,-0.7143674402801876,0.7143674402801873,0.6060875376322364,0.6170342485491167
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.2375,0.0634644156849792,-0.06787230782763,-0.7495281896256518,0.7495281896256517,0.7786542226914643,0.7934234807267255
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.25,0.0670090770501235,-0.0491350834168427,-0.6744897501960817,0.6744897501960817,0.6295753836118667,0.6030847626548342
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.25,0.0661576536850979,-0.0618700525629433,-0.7063866126448144,0.7063866126448144,0.7966348610298126,0.795956839572358
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.25,0.0676686975695562,-0.0565675756805853,-0.6744897501960817,0.6744897501960817,0.6164624714613334,0.6251094741537921
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.25,0.05852088184143,-0.0707279003808228,-0.7063866126448144,0.7063866126448144,0.7870375724310053,0.804426135257797
