tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,mark,t,left,0.0817969867639407,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,mark,t,right,0.0717156475224381,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,norm,left,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,norm,right,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,t,both,0.1083288205287391,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,t,left,0.0819726520551504,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi_d,unmark,t,right,0.0718731422946984,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci,mark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci,mark,t,both,0.0977391244893583,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci,unmark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci,unmark,t,both,0.0982515346399899,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci_s,mark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci_s,mark,t,both,0.0954902021272391,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci_s,unmark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,ci_s,unmark,t,both,0.0960620624714155,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi,mark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi,mark,t,both,0.2251486357932708,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi,unmark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi,unmark,t,both,0.2088777472032852,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,norm,both,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,norm,left,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,norm,right,,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,t,both,0.2192777934331488,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,t,left,0.1265834702970233,
HSI,HKEX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0343000207784162,0.0328542261246205,False,False,SLSQP,True,bi_d,mark,t,right,0.0977620989600355,
