tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,mark,,,0.0666135745936771,0.0716578634421168,0.0634857822812395,0.0687450530249614,0.0334270353872411,0.0117245575942588,,,,,0.0975351340087483,0.0782453436454175,0.0019249370431739,0.0014474236668045,0.0223856894929239,0.0232049104226404,0.2507588065289987,1.386990541203161,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,unmark,,,0.066610480929732,0.0727304941653252,0.0633380927348615,0.0690823498917261,0.0317153511364353,0.0102240748855992,,,,,0.1015984563601005,0.1124640379827363,0.0017732693723133,0.0018467910229389,,,,,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,,,0.0505791603411856,,,0.0565345853965033,0.0161081682822481,0.011057831321666,,,,,0.1001515541867737,0.1215724102195085,0.001951333491623,0.0020550913618634,0.0224270159296035,0.0347839742990703,0.3711746720669736,1.7700781015957263,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,unmark,,,0.0497770270282738,,,0.0560828538452191,0.0155585813855376,0.0121412111502547,,,,,0.1015984563601005,0.1124640379827363,0.0017732693723133,0.0018467910229389,,,,,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci,mark,,,0.0486598527176482,0.0512446722866704,0.0486598527176482,0.0512446722866704,0.0334127257152433,0.0113288930037999,,,,,0.0993028683309448,0.0519274702795824,0.001981543284371,0.0013601160227171,0.0214371376927674,0.0226484662893378,0.2421877184003219,1.2415921131719965,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci,unmark,,,0.0489389577434289,0.0526879303336137,0.0489389577434289,0.0526879303336137,0.0317669187714035,0.0104045212788734,,,,,0.1015984563601005,0.1124640379827363,0.0017732693723133,0.0018467910229389,,,,,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci_s,mark,,,0.0173783738842418,0.0173783738842418,0.0173783738842418,0.0173783738842418,0.0157842541151143,0.0157842541151143,,,,,0.0681451179858844,0.0681451179858844,0.0012483224272051,0.0012483224272051,0.0177203143375577,0.0177203143375577,0.4766387200407943,0.4766387200407943,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci_s,unmark,,,0.0171195456706992,0.0171195456706992,0.0171195456706992,0.0171195456706992,0.0154363464131229,0.0154363464131229,,,,,0.0761785918547807,0.0761785918547807,0.0012790579084041,0.0012790579084041,,,,,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi,mark,0.0027810764240137,0.0026834850993417,0.0762518383331778,0.0722448258174488,0.0760185056019294,0.0698852296956861,0.0332343439485213,0.0112861562810611,,,,,0.0957514531337612,0.0344817382987224,0.0019114243855766,0.0013187147219969,0.0225993261831031,0.0240239035810979,0.2387675556962783,1.1736223693454997,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi,unmark,0.0028912728104421,0.0027407385163831,0.0773137068842033,0.0739949074386008,0.0773208523679846,0.0720738499490182,0.031988559030582,0.0100705117857494,,,,,0.1015984563601005,0.1124640379827363,0.0017732693723133,0.0018467910229389,,,,,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi_d,mark,0.0027329216054405,0.0026885933116595,0.073007059807947,,,0.0796795719008363,0.0160600294943563,0.0110122134990643,,,,,0.0991181633848541,0.1086005114689264,0.001910845664083,0.0021305324647521,0.0231644655660842,0.0342920432934384,0.3661482100017444,1.7065532593359924,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi_d,unmark,0.0027431971991704,0.0025836744265968,0.0714084490628109,,,0.0738670657823627,0.0155612934175529,0.0121270747631785,,,,,0.1015984563601005,0.1124640379827363,0.0017732693723133,0.0018467910229389,,,,,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,ci,mark,0.0026776080980382,0.0026776080980382,0.0553081632348929,0.052027179822934,0.0553081632348929,0.052027179822934,0.0326933050946522,0.0108176146558615,,,,,0.0997609381374013,0.0407091112138358,0.0019309095364888,0.0011834174846342,0.0211645408446434,0.0234371420109775,0.2469622490542381,0.6544965029271012,,
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,ci,unmark,0.002741705585241,0.002741705585241,0.0558555005026944,0.0532959191312385,0.0558555005026944,0.0532959191312385,0.0317319108640043,0.0104193056680834,,,,,0.1015984563601005,0.1124640379827363,0.0017732693723133,0.0018467910229389,,,,,,
