tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi_d,mark,0.0112621835104595,0.0112621835032051,0.6451327308038859,,,0.6215556084930601,0.089193092603417,0.0508882437394222,,,,,0.1467815653533563,0.1081003028348689,0.0099411848135468,0.0114529041514412,0.045911957561678,0.0282608772513165,0.4403560813621168,1.841813679848236,0.0039965803075422,0.0042621101829099,9988,250,125,125,500,250,250,14,7,7,-325.9274312846692,-150.40042455196163,-175.5270067327075,679.8548625693384,314.80084910392327,365.054013465415,738.8593759472491,339.451075528959,389.7042398904507,500,250,250,14,7,7,-1135.940243062107,-553.8900170854248,-582.0502259766819,2299.8804861242133,1121.7800341708496,1178.1004519533635,2358.884999502124,1146.430260595885,1202.7506783783997,500,250,250,14,7,7,810.0128117774375,403.4895925334632,406.5232192439744,-1592.025623554875,-792.9791850669263,-799.0464384879488,-1533.0211101769644,-768.3289586418906,-774.396212062913,2023-09-21 08:39:17.341189+00:00,2023-09-21 08:40:06.509867+00:00,0 days 00:00:49.168822800,2023-09-21 08:39:17.383725+00:00,2023-09-21 08:39:42.058893+00:00,0 days 00:00:24.674840399
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi_d,unmark,0.0112621836349998,0.0112621836349946,0.6519975864764487,,,0.6314933741784862,0.0854343480711123,0.0523724244959873,,,,,0.1257170041844612,0.1038264544800041,0.0131466694554827,0.0128632987251483,,,,,0.0039192670865254,0.0041501892907141,9988,250,125,125,500,250,250,10,5,5,-335.1032785970656,-154.31131024567708,-180.79196835138868,690.2065571941312,318.62262049135416,371.58393670277735,732.3526381783531,336.2299250806654,389.1912412920886,250,125,125,6,3,3,-1142.0279130997878,-555.041501334871,-586.986411764917,2296.055826199576,1116.083002669742,1179.972823529834,2317.184591706749,1124.567943881649,1188.457764741741,250,125,125,4,2,2,806.9246345027223,400.7301910891939,406.1944434135283,-1605.8492690054445,-797.4603821783878,-808.3888868270566,-1591.7634253339954,-791.8037547037832,-802.7322593524519,2023-09-21 08:37:51.915909+00:00,2023-09-21 08:38:15.116812+00:00,0 days 00:00:23.200767199,2023-09-21 08:37:51.951440+00:00,2023-09-21 08:38:02.861299+00:00,0 days 00:00:10.910262400
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,ci,mark,0.0112621836350206,0.0112621836350206,0.4897055211751641,0.2537652058417716,0.4897055211751641,0.2537652058417716,0.180296086583338,0.0343741544324499,,,,,0.1385185614515048,-0.0130825014986026,0.0099841703820683,0.0076552338140736,0.0442264470259212,0.0867295544077051,0.3712009945987397,0.8533448538282762,0.0028890797800936,0.0028890797800936,9988,250,125,125,500,250,250,13,13,13,-255.7171880254998,-148.49617008811288,-107.22101793738663,537.4343760509996,322.9923401762257,240.4420358747733,592.2242813304881,368.7713321084349,286.2210278069825,500,250,250,13,13,13,-1077.7939977165606,-552.4258826864668,-525.3681150300936,2181.5879954331213,1130.8517653729336,1076.7362300601872,2236.377900712609,1176.6307573051429,1122.5152219923964,500,250,250,13,13,13,822.0768096910608,403.92971259835394,418.1470970927069,-1618.1536193821216,-781.8594251967079,-810.2941941854139,-1563.3637141026331,-736.0804332644987,-764.5152022532046,2023-09-21 08:40:06.511869+00:00,2023-09-21 08:40:51.586034+00:00,0 days 00:00:45.074283200,2023-09-21 08:40:06.544896+00:00,2023-09-21 08:40:30.897788+00:00,0 days 00:00:24.352733199
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,ci,unmark,0.0112621836350208,0.0112621836350208,0.5070879393117396,0.2497786756486799,0.5070879393117396,0.2497786756486799,0.1600627258199864,0.0286746015267387,,,,,0.1257170041844612,0.1038264544800041,0.0131466694554827,0.0128632987251483,,,,,0.0027382128301199,0.0027382128301199,9988,250,125,125,500,250,250,9,7,7,-273.47155733009254,-152.3792543045888,-121.09230302550368,564.9431146601851,318.7585086091776,256.18460605100734,602.8745875459848,343.4087350342133,280.83483247604306,250,125,125,5,5,5,-1080.3961918328148,-553.1094453937827,-527.286746439032,2170.7923836656296,1116.2188907875654,1064.573492878064,2188.399688254941,1130.360459474077,1078.7150615645755,250,125,125,4,2,2,806.9246345027223,400.7301910891939,406.1944434135283,-1605.8492690054445,-797.4603821783878,-808.3888868270566,-1591.7634253339954,-791.8037547037832,-802.7322593524519,2023-09-21 08:38:15.119314+00:00,2023-09-21 08:38:33.089729+00:00,0 days 00:00:17.970594700,2023-09-21 08:38:15.160849+00:00,2023-09-21 08:38:22.969048+00:00,0 days 00:00:07.808508400
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,ci_s,mark,0.0125573922201679,0.0125573922201679,0.3682852673060932,0.3682852673060932,0.3682852673060932,0.3682852673060932,0.1062271158997893,0.1062271158997893,,,,,0.1233646017883638,0.1233646017883638,0.0087359013949025,0.0087359013949025,0.0659109536850931,0.0659109536850931,0.8753411979190834,0.8753411979190834,0.0033079871192239,0.0033079871192239,9988,250,125,125,500,250,250,7,7,7,-276.32945313782034,-154.9565127008948,-121.37294043692545,566.6589062756407,323.9130254017896,256.74588087385087,596.161162964596,348.5632518268253,281.3961072988866,500,250,250,7,7,7,-1092.6279327540424,-557.9559873589681,-534.6719453950742,2199.2558655080848,1129.911974717936,1083.3438907901484,2228.75812219704,1154.5622011429718,1107.994117215184,500,250,250,7,7,7,816.298479616222,402.99947465807327,413.2990049581488,-1618.596959232444,-791.9989493161465,-812.5980099162975,-1589.094702543489,-767.3487228911108,-787.9477834912618,2023-09-21 08:38:59.551429+00:00,2023-09-21 08:39:17.338687+00:00,0 days 00:00:17.787347500,2023-09-21 08:38:59.592463+00:00,2023-09-21 08:39:11.088326+00:00,0 days 00:00:11.496026299
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,ci_s,unmark,0.0125852302065356,0.0125852302065356,0.3706833613544393,0.3706833613544393,0.3706833613544393,0.3706833613544393,0.1032998087197443,0.1032998087197443,,,,,0.1168827367899824,0.1168827367899824,0.0129786088680842,0.0129786088680842,,,,,0.0032549593337795,0.0032549593337795,9988,250,125,125,500,250,250,5,5,5,-290.9791504657825,-160.21431874980908,-130.7648317159734,591.958300931565,330.42863749961816,271.5296634319468,613.0313414236759,348.0359420889294,289.13696802125804,250,125,125,3,3,3,-1097.8495689634733,-560.9186123585805,-536.9309566048928,2201.6991379269466,1127.837224717161,1079.8619132097856,2212.263520680533,1136.322165929068,1088.3468544216926,250,125,125,2,2,2,806.8704184976908,400.7042936087714,406.1661248889194,-1609.7408369953816,-797.4085872175428,-808.3322497778388,-1602.6979151596572,-791.7519597429382,-802.6756223032341,2023-09-21 08:37:42.302164+00:00,2023-09-21 08:37:51.914408+00:00,0 days 00:00:09.612311599,2023-09-21 08:37:42.330187+00:00,2023-09-21 08:37:48.495975+00:00,0 days 00:00:06.165524699
CAC,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0266343531553639,0.0245595087575667,False,False,SLSQP,True,bi,mark,0.025,0.025,0.4944678718173544,0.2171009252528487,0.5494151062884896,0.2984437775092223,0.094272739798516,0.0167049133865574,,,,,0.2541248174073329,0.0837130697116665,0.0057806903993662,0.0041476486025253,0.0576789777592463,0.0768743994323222,1.9640043021950089,0.4166118075846879,0.0072107800732449,0.0038035279050572,9988,500,250,250,1000,500,500,14,14,14,-250.15100974924508,-164.36225446778064,-85.78875528146443,528.3020194984902,356.7245089355613,199.5775105629289,597.0105934042401,415.729022313472,258.5820239408396,1000,500,500,14,14,14,-2016.5740699528856,-1029.485211021935,-987.0888589309508,4061.148139905771,2086.97042204387,2002.1777178619016,4129.856713811521,2145.9749354217806,2061.182231239812,1000,500,500,14,14,14,1766.4230602036405,865.1229565541543,901.3001036494863,-3504.846120407281,-1702.2459131083083,-1774.6002072989727,-3436.1375465015312,-1643.241399730398,-1715.595693921062,2023-09-21 08:48:56.226770+00:00,2023-09-21 08:50:40.359097+00:00,0 days 00:01:44.132336099,2023-09-21 08:48:56.265303+00:00,2023-09-21 08:49:53.101559+00:00,0 days 00:00:56.836140300
CAC,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0266343531553639,0.0245595087575667,False,False,SLSQP,True,bi,unmark,0.025,0.025,0.5438210426986799,0.188142485352152,0.6200423712673493,0.2395579569381514,0.0738639089194443,0.0156688264519498,,,,,0.2218605448127187,0.2701949571141814,0.0099385694532024,0.0087005249059891,,,,,0.0067009117987292,0.0035099917948624,9988,500,250,250,1000,500,500,10,6,6,-313.16553650545256,-189.1245314411032,-124.04100506434928,646.3310730109051,390.2490628822063,260.0820101286986,695.4086258007264,415.53671147273946,285.3696587192317,500,250,250,6,4,4,-2029.075085952541,-1036.4903042465144,-992.5847817060268,4070.150171905082,2080.9806084930287,1993.169563412053,4095.437820495615,2095.0664521644776,2007.2554070835024,500,250,250,4,2,2,1715.9095494470885,847.3657728054112,868.5437766416774,-3423.819098894177,-1690.7315456108224,-1733.0875532833547,-3406.960666500488,-1683.688623775098,-1726.0446314476303,2023-09-21 08:44:55.309606+00:00,2023-09-21 08:45:32.285324+00:00,0 days 00:00:36.975774800,2023-09-21 08:44:55.356146+00:00,2023-09-21 08:45:08.157628+00:00,0 days 00:00:12.801345700
CAC,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0266343531553639,0.0245595087575667,False,False,SLSQP,True,bi_d,mark,0.025,0.025,0.6237997338321245,,,0.6875587879832433,0.0681695766809532,0.0305596086104778,,,,,0.2321815990468628,0.276609317713239,0.0057386785641772,0.0057099074812621,0.0674740071616566,0.0576197528561774,1.2567091570006237,6.131735967518536,0.0094050066541968,0.0078110303004189,9988,500,250,250,1000,500,500,12,6,6,-345.4526712508373,-169.4957666661187,-175.9569045847188,714.9053425016746,350.9915333322374,363.9138091694376,773.7984058494602,376.2791819227705,389.2014577599708,1000,500,500,12,6,6,-2087.291371341733,-1035.4381950124975,-1051.8531763292356,4198.582742683466,2082.876390024995,2115.706352658471,4257.475806031252,2108.164038615528,2140.994001249004,1000,500,500,12,6,6,1741.8387000908956,865.9424283463788,875.8962717445168,-3459.677400181791,-1719.8848566927577,-1739.7925434890335,-3400.784336834005,-1694.5972081022246,-1714.5048948985004,2023-09-21 08:46:00.332383+00:00,2023-09-21 08:47:23.728923+00:00,0 days 00:01:23.396627799,2023-09-21 08:46:00.376922+00:00,2023-09-21 08:46:49.044170+00:00,0 days 00:00:48.666986499
CAC,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0266343531553639,0.0245595087575667,False,False,SLSQP,True,bi_d,unmark,0.025,0.025,0.6413520823456993,,,0.7144269258046329,0.0656614761518772,0.0318059606741298,,,,,0.2218605448127187,0.2701949571141814,0.0099385694532024,0.0087005249059891,,,,,0.0089661979413575,0.0071393268548841,9988,500,250,250,1000,500,500,8,4,4,-387.904457126906,-193.64245408023987,-194.26200304666625,791.808914253812,395.2849081604797,396.5240060933325,831.0709564856691,412.1433405541685,413.3824384870212,500,250,250,4,2,2,-2103.8140065739944,-1041.008226885651,-1062.8057796883436,4215.628013147989,2086.016453771302,2129.611559376687,4232.486445541677,2093.0593756070266,2136.654481212412,500,250,250,4,2,2,1715.9095494470885,847.3657728054112,868.5437766416774,-3423.819098894177,-1690.7315456108224,-1733.0875532833547,-3406.960666500488,-1683.688623775098,-1726.0446314476303,2023-09-21 08:43:56.921519+00:00,2023-09-21 08:44:26.169609+00:00,0 days 00:00:29.247877,2023-09-21 08:43:56.961053+00:00,2023-09-21 08:44:10.606259+00:00,0 days 00:00:13.645170700
