tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc,N_params_G,log_L_G,opt_start,opt_end,opt_delta
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0,0.0578410623739288,0.0310559301624091,0.1079819314430532,,0.8772909292014066,,,4,-15358.922528683888,2023-09-27 15:30:20.258783+00:00,2023-09-27 15:30:20.410914+00:00,0 days 00:00:00.152024699
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0,0.0659299306765036,0.0135375021411412,0.0590880534274412,,0.9067290521672066,6.891896437125366,,5,-15059.569513432802,2023-09-27 15:30:46.718479+00:00,2023-09-27 15:30:47.567207+00:00,0 days 00:00:00.848404999
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0,0.0357157882780988,0.0356712298298034,0.0417583104053783,0.1074208341229649,0.8834138573432534,,,5,-15284.533098156351,2023-09-27 15:31:18.030336+00:00,2023-09-27 15:31:18.402156+00:00,0 days 00:00:00.371755100
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0,0.0520834905664352,0.0175314662018342,0.0238960892043852,0.0676637662728155,0.9041947807881991,7.29041089244925,,6,-15004.209564047022,2023-09-27 15:31:43.067312+00:00,2023-09-27 15:31:44.089188+00:00,0 days 00:00:01.022107599
