tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi_d,mark,0.003372216187253,0.0041792348458769,0.0759316006656366,,,0.0827717332820571,0.0121665457964752,0.0075001994244396,,,,,0.1160351192580228,0.218394757206239,0.0022658689604095,0.0024732635076601,0.030286388159113,0.0384442192246077,0.4143538526345479,0.4493579707328878,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi_d,unmark,0.0033947414462454,0.0040791958380667,0.0740739302909903,,,0.079691966249279,0.0120397803394182,0.0078105267930647,,,,,0.0912530636309308,0.1232741655946274,0.0018115542425983,0.0018558076263084,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci,mark,0.0047855598803619,0.0047855598803619,0.073284578930174,0.0686846023732521,0.073284578930174,0.0686846023732521,0.0314771109636596,0.0055186616863533,,,,,0.1196904337458706,0.1033183504368611,0.0022616049711322,0.0015076845598951,0.0247278755449746,0.0209227193664975,0.6011419220512695,0.1907641953973202,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci,unmark,0.0045443879759005,0.0045443879759005,0.0696190667159241,0.0675670369717847,0.0696190667159241,0.0675670369717847,0.0317097365836995,0.005694870854316,,,,,0.0912530636309308,0.1232741655946274,0.0018115542425983,0.0018558076263084,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci_s,mark,0.0043848050598159,0.0043848050598159,0.0319203110830071,0.0319203110830071,0.0319203110830071,0.0319203110830071,0.0118095144189901,0.0118095144189901,,,,,0.0686398482394684,0.0686398482394684,0.0012446237405557,0.0012446237405557,0.0176774406020059,0.0176774406020059,0.4126373500999176,0.4126373500999176,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci_s,unmark,0.0042316735409963,0.0042316735409963,0.0299785300334176,0.0299785300334176,0.0299785300334176,0.0299785300334176,0.0118383317806233,0.0118383317806233,,,,,0.0755969091577736,0.0755969091577736,0.0013114085345801,0.0013114085345801,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi,mark,,,0.0616363294402422,0.0666384810285041,0.0669931459333892,0.0671633175377819,0.0198864644624628,0.0062990873312213,,,,,0.0623601443186715,0.0735416340938262,0.0009366577936532,0.000303522455377,0.0111211687392159,0.0099419291151326,0.48722887548713,0.4373760134119575,,
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi,unmark,,,0.0626722884750669,0.0686005017018011,0.0699374063883305,0.0707324601575196,0.0164173259081763,0.008013071278084,,,,,0.0810540822693927,0.0833937947812206,0.0011341469730811,0.0009566909152772,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi_d,mark,,,0.039641317295699,,,0.0393341516623676,0.0091351506700795,0.0058156218251529,,,,,0.062711097444445,0.0789490334597072,0.0009075831387726,0.000972858824727,0.0123672448776831,0.0143999766829504,0.3384144669131042,0.7558129794901235,,
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi_d,unmark,,,0.0392866568376059,,,0.0388670084731056,0.0096859446853868,0.0061378004506712,,,,,0.0810540822693927,0.0833937947812206,0.0011341469730811,0.0009566909152772,,,,,,
