tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi_d,mark,0.0113346418056918,0.0113346418056918,0.7104876374548688,,,0.763683115861471,0.0643395721209844,0.0353381529996193,,,,,0.2031647406809313,0.0866245011784344,0.0075878882208613,0.0091733643364163,0.0717476993209852,0.0731144372300076,0.4566113098984052,0.596462839440654,0.0032815189277686,0.0026785672343474,10025,252,126,126,504,252,252,14,7,7,-287.4873146550601,-135.3965745267355,-152.0907401283245,602.9746293101202,284.793149053471,318.181480256649,662.0906970631194,309.4991526660509,342.88748386922896,504,252,252,14,7,7,-1112.3285983769988,-544.1257048703396,-568.202893506659,2252.6571967539976,1102.2514097406793,1150.405787013318,2311.773264506997,1126.9574133532592,1175.111790625898,504,252,252,14,7,7,824.8412837219387,408.72913034360414,416.11215337833454,-1621.6825674438774,-803.4582606872083,-818.2243067566691,-1562.566499690878,-778.7522570746283,-793.5183031440891,2023-09-21 08:39:11.921540+00:00,2023-09-21 08:40:03.860594+00:00,0 days 00:00:51.939052,2023-09-21 08:39:11.957070+00:00,2023-09-21 08:39:38.938216+00:00,0 days 00:00:26.981055699
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi_d,unmark,0.0113346418053462,0.0113346418056918,0.7186106839946294,,,0.7662544000433221,0.0604011115717694,0.0363200210236319,,,,,0.0333969658860802,0.1216562065012823,0.014266709611571,0.0122162394128998,,,,,0.0031894471047722,0.0026494226491654,10025,252,126,126,504,252,252,10,5,5,-295.77249796605463,-139.81241772843225,-155.96008023762226,611.5449959321093,289.6248354568645,321.92016047524453,653.770758612823,307.27198089442163,339.56730591280166,252,126,126,6,3,3,-1114.7471146629034,-545.0814879106216,-569.6656267522817,2241.494229325807,1096.1629758212432,1145.3312535045634,2262.6708038508755,1104.6718215420976,1153.8400992254178,252,126,126,4,2,2,818.9746166968488,405.26907018218935,413.7055465146594,-1629.9492333936976,-806.5381403643787,-823.4110930293189,-1615.831517043652,-800.8655765504758,-817.738529215416,2023-09-21 08:37:49.566393+00:00,2023-09-21 08:38:11.476188+00:00,0 days 00:00:21.909810600,2023-09-21 08:37:49.603925+00:00,2023-09-21 08:37:59.202160+00:00,0 days 00:00:09.598376099
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci,mark,0.0113346418056918,0.0113346418056918,0.543974852188474,0.3092718632992266,0.543974852188474,0.3092718632992266,0.1171524388737563,0.0174434925049323,,,,,0.2033429906629981,-0.1603278831440125,0.0080377586249608,0.0077516060570506,0.0562807488951401,0.0984897374815375,0.8527230053366861,0.0278060084574384,0.0016633959137557,0.0016633959137557,10025,252,126,126,504,252,252,13,13,13,-213.88761060777483,-128.84627487168626,-85.04133573608863,453.77522121554966,283.6925497433725,196.08267147217725,508.66871270047744,329.57512788102105,241.96524960982575,504,252,252,13,13,13,-1051.2367940071113,-537.3131460454211,-513.9236479616901,2128.4735880142225,1100.6262920908423,1053.8472959233802,2183.3670794991503,1146.5088702284909,1099.7298740610288,504,252,252,13,13,13,837.3491833993364,408.4668711737349,428.8823122256015,-1648.6983667986729,-790.9337423474698,-831.764624451203,-1593.804875313745,-745.0511642098213,-785.8820463135545,2023-09-21 08:40:03.863096+00:00,2023-09-21 08:40:51.173180+00:00,0 days 00:00:47.309976800,2023-09-21 08:40:03.903631+00:00,2023-09-21 08:40:30.496443+00:00,0 days 00:00:26.592814900
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci,unmark,0.0113346418056918,0.0113346418056918,0.5298478130143348,0.3226195041650343,0.5298478130143348,0.3226195041650343,0.122645369012541,0.0187434813588578,,,,,0.0333969658860802,0.1216562065012823,0.014266709611571,0.0122162394128998,,,,,0.0016722301144045,0.0016722301144045,10025,252,126,126,504,252,252,9,7,7,-236.16771838205148,-134.02730248341868,-102.1404158986328,490.33543676410295,282.05460496683736,218.2808317972656,528.3386231767453,306.7606085794173,242.98683540984555,252,126,126,5,5,5,-1055.1423350789005,-539.296372665608,-515.8459624132922,2120.2846701578005,1088.592745331216,1041.6919248265845,2137.9318155953574,1102.7741548659735,1055.873334361342,252,126,126,4,2,2,818.9746166968488,405.26907018218935,413.7055465146594,-1629.9492333936976,-806.5381403643787,-823.4110930293189,-1615.831517043652,-800.8655765504758,-817.738529215416,2023-09-21 08:38:11.479191+00:00,2023-09-21 08:38:28.229560+00:00,0 days 00:00:16.750546400,2023-09-21 08:38:11.519726+00:00,2023-09-21 08:38:18.302043+00:00,0 days 00:00:06.782336099
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci_s,mark,0.0125685368226465,0.0125685368226465,0.4042856186599566,0.4042856186599566,0.4042856186599566,0.4042856186599566,0.07584904114365,0.07584904114365,,,,,0.1437913807454901,0.1437913807454901,0.0071180321714306,0.0071180321714306,0.0781714190185229,0.0781714190185229,0.7858693042651573,0.7858693042651573,0.0024059794526583,0.0024059794526583,10025,252,126,126,504,252,252,7,7,7,-236.42782934132765,-137.89064951884268,-98.53717982248492,486.8556586826553,289.78129903768536,211.07435964496983,516.4136925591549,314.4873026502653,235.7803632575498,504,252,252,7,7,7,-1067.4098976075577,-545.2619604083587,-522.1479371991986,2148.819795215115,1104.5239208167177,1058.2958743983972,2178.3778290916143,1129.2299244292974,1083.0018780109772,504,252,252,7,7,7,830.9820682662298,407.37131088951605,423.6107573767137,-1647.9641365324596,-800.7426217790321,-833.2215147534274,-1618.40610265596,-776.0366181664522,-808.5155111408475,2023-09-21 08:38:55.454915+00:00,2023-09-21 08:39:11.919038+00:00,0 days 00:00:16.464101,2023-09-21 08:38:55.494448+00:00,2023-09-21 08:39:05.762257+00:00,0 days 00:00:10.267753399
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,ci_s,unmark,0.0125685116433634,0.0125685116433634,0.4066861986736523,0.4066861986736523,0.4066861986736523,0.4066861986736523,0.0743275747724925,0.0743275747724925,,,,,0.0680634355361587,0.0680634355361587,0.0133429434310184,0.0133429434310184,,,,,0.0023456311969134,0.0023456311969134,10025,252,126,126,504,252,252,5,5,5,-252.7100226224268,-141.82581666114118,-110.88420596128545,515.4200452448536,293.65163332228235,231.7684119225709,536.5329265852104,311.2987787598395,249.415557360128,252,126,126,3,3,3,-1071.3766396030603,-546.9598721424361,-524.4167674606241,2148.7532792061206,1099.9197442848722,1054.8335349212482,2159.341566468655,1108.4285900057266,1063.3423806421026,252,126,126,2,2,2,818.6666169806335,405.1340554812949,413.5325614993386,-1633.333233961267,-806.2681109625898,-823.0651229986773,-1626.2743757862445,-800.5955471486869,-817.3925591847744,2023-09-21 08:37:41.639594+00:00,2023-09-21 08:37:49.564892+00:00,0 days 00:00:07.924931500,2023-09-21 08:37:41.669119+00:00,2023-09-21 08:37:46.362146+00:00,0 days 00:00:04.692952399
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi,mark,0.025,0.025,0.5140153008426154,0.3013150559163779,0.560870712016897,0.3343499001259255,0.1008533036731071,0.0226940629526518,,,,,0.1739562921862842,-0.0220134585224693,0.0064256698048193,0.0045959423077892,0.0486467397811542,0.0673408733137865,0.9957355598945036,0.6641872296540579,0.0046167410810251,0.0026194846964294,10025,502,251,251,1004,502,502,14,14,14,-153.69003141122062,-119.89411686738184,-33.79591454383876,335.38006282244123,267.7882337347637,95.59182908767752,404.14452502596464,326.8486354104479,154.65223076336173,1004,502,502,14,14,14,-1914.571279296042,-977.8168207642118,-936.7544585318302,3857.142558592084,1983.633641528424,1901.5089170636604,3925.907020795608,2042.694043204108,1960.569318739345,1004,502,502,14,14,14,1760.8812478848213,857.92270389683,902.9585439879914,-3493.7624957696426,-1687.84540779366,-1777.917087975983,-3424.998033566119,-1628.7850061179756,-1718.8566863002986,2023-09-21 08:48:45.569128+00:00,2023-09-21 08:50:25.677502+00:00,0 days 00:01:40.108600300,2023-09-21 08:48:45.608661+00:00,2023-09-21 08:49:37.716861+00:00,0 days 00:00:52.108265
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi,unmark,0.025,0.025,0.5411680758125649,0.2718740456937761,0.5776008929172359,0.3239795323620291,0.088615466011027,0.02603037780506,,,,,0.1431976711132437,0.2093201059478987,0.0110754805875987,0.0092186698100123,,,,,0.0046739469623414,0.0024604893680183,10025,502,251,251,1004,502,502,10,6,6,-207.2023677480045,-138.94290557478382,-68.25946217322075,434.4047354960089,289.88581114956764,148.5189243464415,483.5222084985257,315.197411867718,173.83052506459188,502,251,251,6,4,4,-1923.284899796245,-982.2414096864017,-941.0434901098436,3858.56979959249,1972.482819372803,1890.0869802196876,3883.88140031064,1986.5846311293303,1904.1887919762144,502,251,251,4,2,2,1716.0825320482406,843.2985041116177,872.7840279366229,-3424.1650640964813,-1682.5970082232354,-1741.5680558732458,-3407.2906636177145,-1675.5461023449718,-1734.5171499949822,2023-09-21 08:44:55.904616+00:00,2023-09-21 08:45:33.629477+00:00,0 days 00:00:37.724835500,2023-09-21 08:44:55.954659+00:00,2023-09-21 08:45:08.989342+00:00,0 days 00:00:13.034682699
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi_d,mark,0.025,0.025,0.7381832235974818,,,0.804486884283003,0.0588050122373111,0.0336176853275892,,,,,0.1721971657607229,0.1800998659951578,0.0061379468026203,0.005618762261205,0.0565817704089569,0.055742731728791,0.539881996944964,1.1709589855888791,0.0065454194100629,0.0048878278929249,10025,502,251,251,1004,502,502,12,6,6,-249.4569717139584,-130.30310885506276,-119.15386285889564,522.9139434279168,272.6062177101255,250.3077257177913,581.8549110309369,297.9178184282759,275.6193264359417,1004,502,502,12,6,6,-1990.0154920893972,-989.3250051735738,-1000.6904869158236,4004.030984178795,1990.650010347148,2013.380973831647,4062.971951781815,2015.961611065298,2038.6925745497972,1004,502,502,12,6,6,1740.558520375439,859.021896318511,881.5366240569278,-3457.117040750878,-1706.043792637022,-1751.0732481138557,-3398.176073147858,-1680.7321919188716,-1725.7616473957053,2023-09-21 08:46:01.550428+00:00,2023-09-21 08:47:24.369973+00:00,0 days 00:01:22.819568199,2023-09-21 08:46:01.588461+00:00,2023-09-21 08:46:49.354436+00:00,0 days 00:00:47.766090299
DAX,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0264052230981723,0.0247430198123108,False,False,SLSQP,True,bi_d,unmark,0.025,0.025,0.7450393009178065,,,0.8043014445282904,0.0583238067541429,0.0368354304638325,,,,,0.1431976711132437,0.2093201059478987,0.0110754805875987,0.0092186698100123,,,,,0.0063740174770548,0.0048924638867927,10025,502,251,251,1004,502,502,8,4,4,-281.6352252159543,-148.11254689544444,-133.52267832050973,579.2704504319086,304.2250937908889,275.04535664101945,618.564428833922,321.0994942696558,291.9197571197864,502,251,251,4,2,2,-1997.717757264195,-991.4110510070622,-1006.3067062571326,4003.43551452839,1986.8221020141243,2016.6134125142653,4020.3099150071566,1993.873007892388,2023.664318392529,502,251,251,4,2,2,1716.0825320482406,843.2985041116177,872.7840279366229,-3424.1650640964813,-1682.5970082232354,-1741.5680558732458,-3407.2906636177145,-1675.5461023449718,-1734.5171499949822,2023-09-21 08:43:57.080656+00:00,2023-09-21 08:44:26.913747+00:00,0 days 00:00:29.833101899,2023-09-21 08:43:57.120689+00:00,2023-09-21 08:44:11.077163+00:00,0 days 00:00:13.956423699
