tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,T,N_M,N_M_1,N_M_2,meta_res_start,meta_res_end,meta_res_delta
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,10092,254,127,127,2023-09-21 08:32:35.811247+00:00,2023-09-21 08:36:10.649540+00:00,0 days 00:03:34.838306900
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,10092,254,127,127,2023-09-21 08:37:40.330971+00:00,2023-09-21 08:42:14.773394+00:00,0 days 00:04:34.442700899
DJI,NASDAQ,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0206204179668178,0.0207131901101573,False,False,SLSQP,True,10092,506,253,253,2023-09-21 08:43:42.271453+00:00,2023-09-21 08:51:33.387085+00:00,0 days 00:07:51.115581800
DJI,NASDAQ,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0206204179668178,0.0207131901101573,False,False,SLSQP,False,10092,506,253,253,2023-09-21 08:53:02.345397+00:00,2023-09-21 09:02:19.225600+00:00,0 days 00:09:16.879958
DJI,NASDAQ,1975-01-01,2015-01-01,0.0375,0.0375,left,right,0.0,0.0,-0.0175895598139116,0.0179744134290996,False,False,SLSQP,True,10092,758,379,379,2023-09-21 09:04:20.742842+00:00,2023-09-21 09:15:46.861909+00:00,0 days 00:11:26.118642900
DJI,NASDAQ,1975-01-01,2015-01-01,0.0375,0.0375,left,right,0.0,0.0,-0.0175895598139116,0.0179744134290996,False,False,SLSQP,False,10092,758,379,379,2023-09-21 09:17:22.274757+00:00,2023-09-21 09:31:43.017120+00:00,0 days 00:14:20.742309600
DJI,NASDAQ,1975-01-01,2015-01-01,0.05,0.05,left,right,0.0,0.0,-0.0156007537729442,0.0161449349903249,False,False,SLSQP,True,10092,1010,505,505,2023-09-21 09:33:59.425134+00:00,2023-09-21 09:49:50.559539+00:00,0 days 00:15:51.134059200
DJI,NASDAQ,1975-01-01,2015-01-01,0.05,0.05,left,right,0.0,0.0,-0.0156007537729442,0.0161449349903249,False,False,SLSQP,False,10092,1010,505,505,2023-09-21 09:51:40.719538+00:00,2023-09-21 10:10:35.956368+00:00,0 days 00:18:55.236777700
DJI,NASDAQ,1975-01-01,2015-01-01,0.0625,0.0625,left,right,0.0,0.0,-0.0141505887176314,0.0144837954975249,False,False,SLSQP,True,10092,1262,631,631,2023-09-21 10:14:44.074711+00:00,2023-09-21 10:35:29.942444+00:00,0 days 00:20:45.867875799
DJI,NASDAQ,1975-01-01,2015-01-01,0.0625,0.0625,left,right,0.0,0.0,-0.0141505887176314,0.0144837954975249,False,False,SLSQP,False,10092,1262,631,631,2023-09-21 10:37:18.453027+00:00,2023-09-21 11:03:44.753791+00:00,0 days 00:26:26.300745600
