tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc,N_params_G,log_L_G,opt_start,opt_end,opt_delta
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0,0.0513841289935132,0.0160336871645156,0.0784044621754316,,0.907733421932076,,,4,-13420.456511526065,2023-09-27 15:30:20.741698+00:00,2023-09-27 15:30:20.884820+00:00,0 days 00:00:00.143140800
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0,0.0531310141338625,0.0073222733671017,0.0417481330648844,,0.9311200322187994,6.8919552334425696,,5,-13134.105351544022,2023-09-27 15:30:46.416720+00:00,2023-09-27 15:30:47.430090+00:00,0 days 00:00:01.013155999
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0,0.0325853096284601,0.0187434783141499,0.0265876932573346,0.0905364366884163,0.9098519352998256,,,5,-13342.880082595602,2023-09-27 15:31:16.654156+00:00,2023-09-27 15:31:17.047995+00:00,0 days 00:00:00.393992599
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0,0.0429900348251721,0.0092585585772215,0.0183412333516746,0.0518928605719796,0.9251578628749172,7.218575292092165,,6,-13093.095712260176,2023-09-27 15:31:42.084469+00:00,2023-09-27 15:31:43.381082+00:00,0 days 00:00:01.296530200
