tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0,0.0081412685402478,0.0021473549029956,0.0052005603041547,,0.0061519579455966,,
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0,0.0078148404266893,0.0013238087603646,0.0037812614023944,,0.0058950363476086,0.4481056365394734,
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0,0.0083073486881295,0.0021885284261635,0.0043935090368711,0.008348869480294,0.0059745510450621,,
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0,0.0078012272746079,0.0014812899587167,0.0034155114775905,0.0066116442160554,0.0061159400253982,0.4878165879924202,
