tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,unmark,t,left,6.779810204078916,,10092,9838,0,33090.80946380233,-66181.61892760466,-66181.61892760466,2023-09-23 23:18:19.237876+00:00,2023-09-23 23:18:20.172678+00:00,0 days 00:00:00.934793100
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,unmark,t,right,6.591007147562518,,10092,9838,1,33050.92474203731,-66099.84948407461,-66092.65547635726,2023-09-23 23:18:38.545939+00:00,2023-09-23 23:18:39.518773+00:00,0 days 00:00:00.972849800
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci,mark,norm,both,,,10092,9838,0,32820.74600381208,-65641.49200762415,-65641.49200762415,2023-09-23 23:18:56.767570+00:00,2023-09-23 23:18:56.767570+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci,mark,t,both,7.193326321916223,,10092,9838,1,33145.383638590734,-66288.76727718147,-66281.57326946412,2023-09-23 23:19:20.197668+00:00,2023-09-23 23:19:21.488276+00:00,0 days 00:00:01.290770099
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci,unmark,norm,both,,,10092,9838,0,32816.71823613575,-65633.4364722715,-65633.4364722715,2023-09-23 23:19:56.139500+00:00,2023-09-23 23:19:56.139500+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci,unmark,t,both,7.274667146107061,,10092,9838,1,33137.38598514979,-66272.77197029958,-66265.57796258223,2023-09-23 23:20:18.353055+00:00,2023-09-23 23:20:19.591618+00:00,0 days 00:00:01.238777400
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci_s,mark,norm,both,,,10092,9838,0,32800.83187849957,-65601.66375699914,-65601.66375699914,2023-09-23 23:20:51.875812+00:00,2023-09-23 23:20:51.875812+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci_s,mark,t,both,7.208022863206554,,10092,9838,1,33119.94571388784,-66237.89142777568,-66230.69742005834,2023-09-23 23:21:13.736064+00:00,2023-09-23 23:21:15.007655+00:00,0 days 00:00:01.271600199
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci_s,unmark,norm,both,,,10092,9838,0,32794.27406094318,-65588.54812188636,-65588.54812188636,2023-09-23 23:21:46.528194+00:00,2023-09-23 23:21:46.528194+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci_s,unmark,t,both,7.198186403927964,,10092,9838,1,33115.98347052356,-66229.96694104713,-66222.77293332978,2023-09-23 23:22:07.933556+00:00,2023-09-23 23:22:09.292722+00:00,0 days 00:00:01.359289999
