tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.075,0.115197564061211,-0.0343021705619323,-1.5922214398791406,1.592221439879141,0.6541875393220279,0.6145319937320113
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0875,0.1312132230793568,-0.0228767930760937,-1.3563117453352471,1.3563117453352471,0.5379718300706516,0.5139064315598204
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0875,0.1336658218557949,-0.0445981613578503,-1.4882715634866248,1.4882715634866246,0.6281984958803759,0.6458334082890365
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0875,0.1116977792398619,-0.0405931315344192,-1.3563117453352471,1.3563117453352471,0.5532342727590993,0.5322133553335815
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0875,0.134373337144357,-0.0605682503266063,-1.488271563486625,1.4882715634866246,0.6122664093581914,0.6564712667674137
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1,0.1271850048042324,-0.043215696020216,-1.2815515655446004,1.2815515655446004,0.5330866977185962,0.539610238289172
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1,0.105609159657978,-0.0596293771251507,-1.3968153097434188,1.396815309743419,0.6601297561518521,0.6735139807326203
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1,0.123684779556802,-0.0470084570636597,-1.2815515655446004,1.2815515655446004,0.529983716961358,0.5426663959701021
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1,0.1075019918464749,-0.0652264788924022,-1.3968153097434188,1.396815309743419,0.6385374502433985,0.6696423761319735
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1125,0.1089442957911302,-0.0584606848585959,-1.2133396224885178,1.2133396224885171,0.5478841132271968,0.5622575292890301
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1125,0.1056820854271681,-0.055429921563238,-1.3148461673777194,1.3148461673777192,0.6518338721953577,0.6717115288185604
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1125,0.1160444079921729,-0.0662564897800532,-1.213339622488518,1.213339622488517,0.5303022958780539,0.5702745647863348
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1125,0.1059073554330771,-0.0693313371098011,-1.3148461673777192,1.3148461673777192,0.6323735482871669,0.6811477000884042
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.125,0.1025381381934981,-0.0601022226036641,-1.150349380376008,1.150349380376008,0.5498001554533505,0.5681103450952907
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.125,0.0874035419453241,-0.0602345336760139,-1.2403182607824692,1.2403182607824692,0.6739572072908113,0.6836393770764052
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.125,0.0959727393087794,-0.0630437900990853,-1.150349380376008,1.150349380376008,0.5484466497354502,0.5702378995231725
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.125,0.0867280774869339,-0.0655261126757592,-1.2403182607824692,1.2403182607824692,0.654643325450141,0.6800109151938705
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1375,0.0926536216385858,-0.0531589983278822,-1.0916203674341678,1.0916203674341685,0.5571422114361126,0.5622939413179636
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1375,0.0818396209341008,-0.0670674877408058,-1.1717757885842877,1.1717757885842877,0.6777064106969539,0.6989459836205476
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1375,0.0939432143422985,-0.064614241946823,-1.0916203674341678,1.0916203674341685,0.5453778178421496,0.5759786479038156
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1375,0.0785465559358222,-0.0793545543292355,-1.1717757885842877,1.171775788584288,0.6621973792751956,0.706696283263487
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.15,0.086127589581063,-0.0602943966231177,-1.0364333894937898,1.0364333894937898,0.5608789957849005,0.5746022527553393
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.15,0.0653263483996341,-0.070923756211535,-1.108145444558147,1.1081454445581465,0.7023225762902054,0.7098135570499341
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.15,0.0854525354605282,-0.0623876513141406,-1.0364333894937898,1.0364333894937898,0.5517031359360424,0.5768491139190797
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.15,0.0615233731329145,-0.0855968447111714,-1.108145444558147,1.1081454445581465,0.6869043198692989,0.722460921235171
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1625,0.0738389649869339,-0.0654549846508958,-0.984234960446325,0.984234960446325,0.574244689058785,0.5848224568226812
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1625,0.0545852346894144,-0.080138997859323,-1.048612736754834,1.048612736754834,0.7192110061553566,0.7303424066905448
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1625,0.0714768871534738,-0.0857465486070886,-0.984234960446325,0.984234960446325,0.5664214579305817,0.6121286906838121
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1625,0.0464615981590618,-0.0822643622398683,-1.048612736754834,1.048612736754834,0.7116538962946956,0.7219171406409062
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.175,0.0648119677720898,-0.0749233455280405,-0.9345892910734802,0.93458929107348,0.5839325595644453,0.6013466029260238
