tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0,0.0077500144265405,0.0032646195775034,0.007652415238166,,0.008233404575736,,
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0,0.007737986703432,0.0023285906534894,0.0061390417766113,,0.0080653399791046,0.7520261733023416,
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0,0.0080259894004929,0.0034001860464717,0.0070754542812472,0.008988034739266,0.0084955030062777,,
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0,0.007928170654078,0.0023951567148745,0.005583622469417,0.0077395242154293,0.0080476390751379,0.7876701528461889,
