tick,exchange,train_start,train_end,all_end,opt_method,vol,p,o,q,dist,a_u,a_q,tail,period,Q_T,Q_T_1,Q_a_q_T_1,CT_Q_binom_p,CT_Q_UC_LR,CT_Q_UC_p,CT_Q_CC_LR,CT_Q_CC_p,CT_Q_DQ_0_LR,CT_Q_DQ_0_p,CT_Q_DQ_1_LR,CT_Q_DQ_1_p,CT_Q_DQ_2_LR,CT_Q_DQ_2_p,CT_Q_DQ_3_LR,CT_Q_DQ_3_p,CT_Q_DQ_4_LR,CT_Q_DQ_4_p,CT_E_ZMD_t,CT_E_ZMD_b_opt_CB,CT_E_ZMD_1000_0:0_F,S_Q_G,S_E_AL,S_E_NZ,S_E_FZG
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,all,16015,1172,0.0731813924445832,0.3925162416130127,0.7692284490913153,0.3804558436400462,11.402130421191032,0.0033424031972292,1.200537541860762,0.54866415130069,13.182499772395056,0.0042581097612394,21.452595604181575,0.000257506960505,30.19915061112474,1.3475325671419291e-05,30.76589541205634,2.809570047146437e-05,6.873672542534491,1.0061204655407778,1.0,27.0737809496498,-44771.459224242906,2347.830662784181,204.28615952690467
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,train,12210,841,0.0688779688779688,0.0099567340001264,6.768408946289128,0.0092785517081178,14.095904500243703,0.0008691870137798,6.605150137327227,0.0367883128935003,14.045980360634152,0.0028432290200688,18.959149164386705,0.0008006020927545,22.048740799457303,0.0005125444720682,22.09109106213813,0.0011656988826798,4.513191054500298,1.465841582901801,1.0,19.398029340040928,-34910.12930485064,1734.50353879452,146.3301355144286
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,forecast,3805,331,0.0869908015768725,0.0061302099760222,7.528057579084361,0.0060745367580342,10.163555110647394,0.0062088626042708,12.531820298027258,0.0018999833632854,16.57757336763191,0.0008631436686626,19.681970365886396,0.0005770098000994,26.504734867299245,7.121122774933486e-05,28.62155966619655,7.17332665413073e-05,6.333225899703165,0.8330743383594145,1.0,7.675751609608872,-9861.329919392268,613.3271239896615,57.95602401247602
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,all,16015,997,0.0622541367467998,3.5212364632552516e-10,39.64119672024117,3.0517721683054333e-10,42.95893744275509,4.694455935094766e-10,37.54866085145274,7.021208947577406e-09,40.252731988138926,9.418488544632453e-09,41.925491797313725,1.7285492925900314e-08,43.04891544491779,3.6116741375380463e-08,43.93991706983509,7.597680207194203e-08,2.6025085034050446,0.494975985160363,0.997,25.18199253964474,-45763.64763394737,2281.0564638204705,194.0409772417295
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,train,12210,750,0.0614250614250614,5.0727033284596385e-09,34.415376711362114,4.451921609138765e-09,34.49350078310363,3.2346811229544414e-08,32.698192896785294,7.937388335488293e-08,32.79681828193315,3.554682027617773e-07,33.378432227801994,9.992499203637095e-07,33.40013533607282,3.1339316829415158e-06,33.382867842904254,8.848788098925198e-06,1.018412234171265,0.2183004307245741,0.847,18.32590614252866,-35397.18646022878,1701.8573073524124,141.32906904278647
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,forecast,3805,247,0.0649145860709592,0.0177574310805454,5.825506466653224,0.0157954199763684,17.300090224604673,0.0001751189479605,5.86227055857886,0.0533364519912841,13.244914375983315,0.0041358162426039,15.08547280426623,0.0045271846450071,18.56646182555592,0.0023141769779434,22.39634978807568,0.0010260372372098,3.3619442639060733,0.5932842065725924,1.0,6.856086397116078,-10366.46117371858,579.1991564680582,52.71190819894305
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,all,16015,1137,0.0709959413050265,0.4739133666565067,0.5422422710635146,0.4615049393973638,8.365863842836916,0.015253719234739,0.8271686002731581,0.6612757863915792,9.58297260832976,0.0224648582250113,16.403273952145344,0.0025231287612079,21.357977419688044,0.0006931197541265,21.42204249556781,0.0015402004341492,6.866652917874717,1.1980370977761017,1.0,26.435216459396894,-44647.7902926526,2359.9291337290992,205.45312515164744
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,train,12210,816,0.0668304668304668,0.0152771934300157,5.982620503467842,0.0144475203531621,11.245862170109833,0.0036140325324969,5.883545148685069,0.052772103307522,11.11988510918342,0.011094964050916,14.292278268279237,0.0064183445999606,15.67066348184122,0.0078500355674858,15.737157241056211,0.0152364821114633,4.488031028699852,1.5333037136695276,1.0,18.93556143171157,-34819.766626077806,1743.2018048179766,147.1291933909706
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,forecast,3805,321,0.0843626806833114,0.0059119984175197,7.59254548199533,0.0058610136309462,9.591585986095652,0.0082644425830736,12.37145537267512,0.0020586029901892,15.517009678271572,0.001424123805845,19.42067176422808,0.0006496176255192,24.123222070240125,0.0002055889280089,24.28601086717571,0.0004626217509273,6.397813114589126,0.444761804613347,1.0,7.499655027685325,-9828.023666574803,616.7273289111228,58.32393176067683
DAX,EUREX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,right,all,16015,959,0.0598813612238526,2.7583543410934163e-10,40.1496203796396,2.3523716308204707e-10,42.86320684997645,4.92462182144493e-10,37.94606344527136,5.755950049923797e-09,40.14151569091835,9.943942447243614e-09,42.80330464463052,1.1367384367133582e-08,44.42305224459164,1.900527846210309e-08,44.83060692686424,5.0572959375827515e-08,2.7945076109342675,0.5236923617417957,0.998,24.56676781588005,-45664.47125325694,2291.3063802427405,194.94157872058344
