tick,exchange,train_start,train_end,all_end,opt_method,vol,p,o,q,dist,a_u,a_q,tail,period,Q_T,Q_T_1,Q_a_q_T_1,CT_Q_binom_p,CT_Q_UC_LR,CT_Q_UC_p,CT_Q_CC_LR,CT_Q_CC_p,CT_Q_DQ_0_LR,CT_Q_DQ_0_p,CT_Q_DQ_1_LR,CT_Q_DQ_1_p,CT_Q_DQ_2_LR,CT_Q_DQ_2_p,CT_Q_DQ_3_LR,CT_Q_DQ_3_p,CT_Q_DQ_4_LR,CT_Q_DQ_4_p,CT_E_ZMD_t,CT_E_ZMD_b_opt_CB,CT_E_ZMD_1000_0:0_F,S_Q_G,S_E_AL,S_E_NZ,S_E_FZG
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,all,15157,1167,0.0769941281256185,0.3469450266530068,0.8618107582224184,0.3532324594530824,7.414653916614043,0.0245430402376788,8.02843469148411,0.0180570814734822,17.15085469438255,0.0006580048882056,24.13643611338606,7.4999067579129e-05,26.552334599417687,6.971025410773546e-05,28.678465544378238,6.997927985219476e-05,9.138930819684347,0.578069513528034,1.0,26.70261628986034,-41692.27095530244,2272.864350769096,202.06927046305688
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,train,11602,863,0.0743837269436304,0.8187785537357242,0.063675515205432,0.8007782120521039,7.995210896785466,0.0183595491830248,5.26344442977688,0.0719544344698535,15.718417395885186,0.0012951175584303,17.410159527562644,0.0016085368076056,23.63621151574707,0.0002549932586356,25.8851362843814,0.0002338826379404,7.049167479715929,0.4073949520929658,1.0,19.07033700588204,-32732.185929851792,1680.548448870468,144.30811877115048
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,forecast,3555,304,0.0855133614627285,0.0184602588759862,5.436606190603925,0.0197189478267966,5.504701251109509,0.0637777672189872,10.375151510132206,0.0055855311106919,10.61727886431329,0.0139860710218917,19.6234137761159,0.000592548773687,20.82895869368959,0.0008725962084572,20.67777227640065,0.0020958220249372,6.5117419517896495,1.7604737421366825,1.0,7.632279283978298,-8960.085025450648,592.3159018986275,57.76115169190641
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,all,15157,851,0.0561456752655538,4.688438396312662e-20,84.54133598506996,0.0,84.53551247263385,0.0,78.86355540156524,0.0,78.89940423926022,0.0,82.46251246487364,0.0,84.3113645037941,1.1102230246251563e-16,84.51121731359183,4.440892098500626e-16,2.374394295770855,0.9147963373239728,0.993,24.08351764181568,-43256.05959060037,2166.1861054248084,185.01632574546215
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,train,11602,620,0.0534390622306498,2.6227353017035274e-20,85.79278978638649,0.0,81.22286080661615,0.0,77.87246312091887,0.0,78.26204127905649,1.1102230246251563e-16,79.39346548488594,2.220446049250313e-16,83.42821898348886,1.1102230246251563e-16,83.48235816387366,6.661338147750939e-16,2.398139778290848,0.7774815899797596,0.998,17.501296588038727,-33716.62303758382,1616.0022513414206,134.5603840512079
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,forecast,3555,231,0.0649789029535864,0.0237140334407407,5.371996004244238,0.0204625489405653,6.087445341843932,0.0476571469857238,9.569619463333677,0.0083557134243711,9.989933789344953,0.018651896028911,13.944590647711204,0.0074740154776803,14.21364884786486,0.0143077576944601,14.470321923239949,0.0248016621846864,0.439777646425055,0.9906515337131488,0.681,6.582221053776952,-9539.436553016554,550.183854083388,50.455941694254285
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,all,15157,1127,0.0743550834597875,0.3804277369978794,0.7696686256440444,0.3803195851530866,6.634375258285218,0.0362546500327531,7.322866199387892,0.0256956618820211,15.521101446047236,0.0014213801245923,19.98319378215029,0.0005032286949795,20.788226562642222,0.0008881761893844,22.40402075478076,0.0010227480008472,9.263243307890177,0.5679714260935923,1.0,26.09123061149822,-41559.89698637262,2285.5266815324467,203.36092115476103
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,train,11602,835,0.0719703499396655,0.8438936070464704,0.048510572761188,0.8256755560866624,7.080304239269026,0.029008913921158,5.226862987963238,0.0732826428640833,14.597199926351704,0.0021953234271762,14.99794224432164,0.0047054869715366,19.17985543118436,0.0017793476723577,21.21381528182486,0.0016791649975412,7.1031695984191305,0.9618156400843078,1.0,18.632336476054448,-32632.519598793944,1689.8294517981512,145.2217797343511
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,forecast,3555,292,0.0821378340365682,0.0278706205192651,4.722579434708678,0.0297690553081025,4.79329628995356,0.0910225368917159,8.619677277753011,0.0134357174217971,8.853421148339653,0.0313045678191532,18.341649914405963,0.00105807756678,21.019694060039768,0.0008031488018035,20.83076091399559,0.001967562602075,6.726631692405474,1.4641897338913905,1.0,7.45889413544377,-8927.377387578677,595.6972297342954,58.139141420409935
NKX,TSX,1959-10-02,2008-09-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,right,all,15157,830,0.0547601768159926,2.1328725883299365e-18,77.04056976429547,0.0,77.06095641542288,0.0,71.88624087974783,2.220446049250313e-16,71.94682636778208,1.6653345369377348e-15,74.5981962011324,2.4424906541753444e-15,76.4478168300234,4.6629367034256575e-15,76.6154350274093,1.787459069646502e-14,2.198158034732115,0.8679826754531051,0.993,23.495156441780587,-43160.85728672256,2175.97857928059,185.8804812639553
