tick,exchange,train_start,train_end,all_end,opt_method,vol,p,o,q,dist,a_u,a_q,tail,period,Q_T,Q_T_1,Q_a_q_T_1,CT_Q_binom_p,CT_Q_UC_LR,CT_Q_UC_p,CT_Q_CC_LR,CT_Q_CC_p,CT_Q_DQ_0_LR,CT_Q_DQ_0_p,CT_Q_DQ_1_LR,CT_Q_DQ_1_p,CT_Q_DQ_2_LR,CT_Q_DQ_2_p,CT_Q_DQ_3_LR,CT_Q_DQ_3_p,CT_Q_DQ_4_LR,CT_Q_DQ_4_p,CT_E_ZMD_t,CT_E_ZMD_b_opt_CB,CT_E_ZMD_1000_0:0_F,S_Q_G,S_E_AL,S_E_NZ,S_E_FZG
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,all,12283,892,0.0726206952698852,0.3288688248260229,1.0122072494859822,0.3143746304646557,7.209242306598753,0.0271977466381021,1.003573565521379,0.605447888812289,13.137196252254691,0.0043491116872512,30.686973998286387,3.546116383312814e-06,31.71358074171258,6.769740424017456e-06,31.767456719908356,1.8080564682998457e-05,7.870023976805516,1.9232490729907568,1.0,18.57779751980087,-35814.41243056379,1694.9846961045894,139.27872960104088
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,train,10092,730,0.0723345223939754,0.3165818924973572,1.044989769714448,0.3066638163703542,8.43515797791224,0.0147342731969041,1.5697765681494509,0.4561706604665553,9.70925219485875,0.0212063701977254,18.325941222418187,0.0010655972607475,19.57193807111972,0.0015032122324105,19.76539731847541,0.0030485500167795,6.403344284347528,2.0366714185877512,1.0,14.986190663325711,-29575.301032902677,1381.4191333137812,112.354309702959
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,forecast,2191,162,0.0739388407120036,0.903132105502246,0.0357184096521905,0.8500981878225129,-0.7125929935746171,1.0,1.5533502418956089,0.4599326924582734,5.913246556298795,0.1159081042654155,18.92930068504253,0.0008114827734516,19.01990675394715,0.0019057948982182,21.571794322912808,0.0014472880738017,4.771488960519301,0.589853029080643,1.0,3.59160685647516,-6239.111397661116,313.56556279080826,26.9244198980819
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,all,12283,749,0.0609785882927623,1.301816472143867e-09,37.013490217736944,1.1731476901033486e-09,44.9103484378229,1.7694645748633775e-10,36.14353400980881,1.4175269069660601e-08,38.58873418198162,2.1211898904027752e-08,45.39336151897834,3.293398664894198e-09,52.47621686246833,4.3080472522660784e-10,53.463729584447805,9.46217881825362e-10,1.0167049018513143,1.6422455232039954,0.859,16.663340028030973,-36777.26874099582,1632.4378106320155,129.50050994914585
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,train,10092,634,0.0628220372572334,2.080742757730128e-06,22.74395236125565,1.8508569509245727e-06,29.12088788459096,4.747659256842951e-07,21.829077109873573,1.819181928197633e-05,23.00249082850569,4.033477176135225e-05,29.205227736688887,7.101706771428518e-06,34.12075543748364,2.2527692632445806e-06,35.16196310950513,4.009037489427492e-06,2.211188021156337,0.9304669863907892,0.994,13.823709799561383,-30060.16356576937,1349.8101352076558,107.40341711180788
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,forecast,2191,115,0.0524874486535828,3.394156578682804e-05,17.750613925553125,2.5183621185864705e-05,21.66401070130996,1.9756947612026288e-05,18.38093376409297,0.0001020072282447,20.870965763822745,0.0001119756775698,21.70993900833835,0.0002289006807377,24.49482989157921,0.0001743741211048,24.56023091488628,0.0004117588053786,-3.264240288581363,1.2222301064684846,0.005,2.8396302284695905,-6717.105175226454,282.6276754243596,22.097092837338
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,all,12283,862,0.0701782952047545,0.3299028832540707,0.994463119744978,0.3186539901448268,6.330931666520883,0.0421944816423249,1.0233419892815874,0.5994929918102911,12.38656875447008,0.006169717065692,30.41307842878275,4.032498502115622e-06,31.97246966584352,6.016305686640244e-06,32.30952864393068,1.4232715553341713e-05,7.965597997100136,1.950922516593298,1.0,18.15179550611625,-35709.12846004982,1704.374514437798,140.1796570449202
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,train,10092,703,0.0696591359492667,0.2823976893617133,1.2261072099154262,0.2681654309624446,7.478644922907733,0.023770202905298,2.237634719934028,0.3266658944336604,9.181263953071989,0.0269754811951195,17.502751019959742,0.0015430918862674,19.23670924698406,0.0017364171783551,19.24885310349112,0.0037633635039004,6.538408620155266,1.992320047358128,1.0,14.640332928259706,-29492.289193601668,1388.9079504569622,113.06427976838272
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,forecast,2191,159,0.0725696029210406,0.967149398836679,0.0001578037515628,0.989977240688332,-0.1657398856855252,1.0,1.9479533137612013,0.3775785483340439,7.065767651111476,0.0698308156600995,21.52744856664661,0.0002488391883069,21.626969507695303,0.0006163545070766,24.606791698436805,0.0004036873245758,4.708989357002205,0.0664136212810836,1.0,3.511462577856544,-6216.839266448149,315.4665639808361,27.11537727653744
SPX,NASDAQ,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,right,all,12283,722,0.0587804282341447,1.7016517574893867e-09,36.59663193772576,1.4528251934819991e-09,43.64876270607601,3.324999164888709e-10,36.346694298523545,1.2806062432701992e-08,38.08736857877712,2.7086171083823277e-08,44.44693311773421,5.1808157763844065e-09,51.8044493438971,5.916640510861271e-10,52.49631996600323,1.4818282156880967e-09,1.1182036221167195,10.937120217415451,0.844,16.249056875734276,-36705.36900549354,1639.4401751631783,130.03802636030218
