tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,ci,mark,,,0.0380922115776364,0.04270915447987,0.0380922115776364,0.04270915447987,0.0122194660158284,0.0038129292596621,,,,,0.062763922014877,0.0549779835049216,0.0005224064693526,0.0005149932326636,0.0082207485746137,0.0072353247510936,0.1536573932551323,1.1127882559537872,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,ci,unmark,,,0.0377792642896021,0.042045459549827,0.0377792642896021,0.042045459549827,0.0114535837806281,0.0038829564410216,,,,,0.0656102550993358,0.0688246718223993,0.0004670251787217,0.0005639785216014,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,ci_s,mark,,,0.01353215362668,0.01353215362668,0.01353215362668,0.01353215362668,0.0068939090841656,0.0068939090841656,,,,,0.0414975956488956,0.0414975956488956,0.0003602799928338,0.0003602799928338,0.006618767508968,0.006618767508968,0.2342287163559947,0.2342287163559947,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,ci_s,unmark,,,0.0129626774344486,0.0129626774344486,0.0129626774344486,0.0129626774344486,0.0062744867850428,0.0062744867850428,,,,,0.0460646013953226,0.0460646013953226,0.0003508119640842,0.0003508119640842,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,False,bi,mark,0.0043219856951112,0.0042413215446586,0.057202260038241,0.0634603309765981,0.0556676754262072,0.0509495186004228,0.012141719333161,0.0039103285053511,,,,,0.0616680465145586,0.0479248732048549,0.0005179925561803,0.0004759151388838,0.0088010802184924,0.0075701872898344,0.1550080297122503,1.3531248036941896,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,False,bi,unmark,0.0046481097125051,0.0045383189116912,0.0568520260070061,0.0609391731852096,0.0567916968957154,0.0550786930082516,0.0114774367260316,0.0040817827186872,,,,,0.0656102550993358,0.0688246718223993,0.0004670251787217,0.0005639785216014,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,False,bi_d,mark,0.0039477286341359,0.003875026465853,0.0518041797263237,,,0.0588724934485757,0.0082325120242287,0.0047157674693197,,,,,0.064449824666425,0.0663764731001233,0.0005143900627654,0.0006172559411667,0.0089866537558932,0.0103698525655335,0.1524606635426118,2.731840741065257,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,False,bi_d,unmark,0.0040645332194689,0.0040883516007665,0.0516155321730898,,,0.0530171865790821,0.0077169635877262,0.0046225531356358,,,,,0.0656102550993358,0.0688246718223993,0.0004670251787217,0.0005639785216014,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,False,ci,mark,0.0043855642144693,0.0043855642144693,0.0417365212450793,0.0435164915902474,0.0417365212450793,0.0435164915902474,0.0121105057967923,0.003696432808242,,,,,0.0620200195966741,0.0426926205040371,0.0005189742387291,0.0004551225581472,0.0083426684744178,0.007420398504883,0.1546271799741514,1.1103067548814234,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,False,ci,unmark,0.0045631235861839,0.0045631235861839,0.0408932415180267,0.0420597861859916,0.0408932415180267,0.0420597861859916,0.0114314083280425,0.0039274486717252,,,,,0.0656102550993358,0.0688246718223993,0.0004670251787217,0.0005639785216014,,,,,,
