tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,mu,omega,alpha_1,gamma_1,beta_1,df,nc,N_params_G,log_L_G,opt_start,opt_end,opt_delta
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0,0.0617540249696821,0.0185204398857915,0.150075090510486,,0.8538338286673248,,,4,-14252.039505293462,2023-09-27 15:30:21.064975+00:00,2023-09-27 15:30:21.484335+00:00,0 days 00:00:00.419482799
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0,0.0587048764647298,0.0056967469631018,0.0673570926462389,,0.9028638398217258,6.220983224513461,,5,-13924.9778928682,2023-09-27 15:30:48.029103+00:00,2023-09-27 15:30:48.972913+00:00,0 days 00:00:00.943443899
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0,0.0357232705885192,0.0191400244914739,0.0682944805394068,0.1386823033051655,0.8617472092942946,,,5,-14159.237434921566,2023-09-27 15:31:20.531982+00:00,2023-09-27 15:31:20.892291+00:00,0 days 00:00:00.360219299
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0,0.04568650574595,0.0077366087505479,0.0303505046775458,0.0756158888555728,0.899724894031907,6.646965039717259,,6,-13865.33196411149,2023-09-27 15:31:46.616356+00:00,2023-09-27 15:31:47.754833+00:00,0 days 00:00:01.138744400
