tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.5001051963111446,0.4089103336497137,0.5337042927968039,0.2977680933748179,0.1186040229735875,0.0045036251698099,,,,,0.1888684773288746,0.0961376716848158,0.0083835941464862,0.0060058413449335,0.0641744160502222,0.0880601616293471,0.5829894624530237,,0.0011373058754892,0.0021065951728547,9461,238,119,119,476,238,238,14,14,14,-279.10948480316665,-158.53225896355195,-120.5772258396147,586.2189696063333,345.0645179271039,269.1544516792294,644.5348195655732,393.6763073585046,317.76624111063006,476,238,238,14,14,14,-1089.5983630772614,-551.3075739938852,-538.2907890833762,2207.196726154523,1130.6151479877703,1104.5815781667525,2265.512576113763,1179.226937419171,1153.1933675981531,476,238,238,14,14,14,810.4888782740948,392.7753150303332,417.7135632437616,-1592.9777565481895,-757.5506300606664,-807.4271264875231,-1534.6619065889497,-708.9388406292658,-758.8153370561224,2023-09-21 08:35:04.459762+00:00,2023-09-21 08:35:47.774918+00:00,0 days 00:00:43.314999200,2023-09-21 08:35:04.491288+00:00,2023-09-21 08:35:28.520903+00:00,0 days 00:00:24.029578400
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.510017774570549,0.4109860868409312,0.5415076373743415,0.2936590172089095,0.1110212996352694,0.004093343266929,,,,,0.2788061395214811,0.3039367702524758,0.0107554281418562,0.0089304285898064,,,,,0.0009874517323564,0.0020604168177093,9461,238,119,119,476,238,238,10,6,6,-298.8493235978482,-165.73175017471965,-133.11757342312842,617.6986471956964,343.4635003494393,278.23514684625684,659.3528257380106,364.2971243914682,299.0687708882857,238,119,119,6,4,4,-1092.32807023568,-552.9039721083961,-539.4240981272839,2196.65614047136,1113.8079442167923,1086.8481962545677,2217.489764513389,1124.9244381892383,1097.9646902270138,238,119,119,4,2,2,793.4787466378319,387.1722219336765,406.3065247041554,-1578.957493275664,-770.344443867353,-808.6130494083109,-1565.068410580978,-764.78619688113,-803.0548024220878,2023-09-21 08:33:14.684093+00:00,2023-09-21 08:33:32.432318+00:00,0 days 00:00:17.748225699,2023-09-21 08:33:14.726130+00:00,2023-09-21 08:33:20.828866+00:00,0 days 00:00:06.102589899
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.59877113560436,,,0.6363498327880407,0.0761803769826014,0.0260060839566107,,,,,0.2173103424621829,0.2943407588145577,0.0080575723517928,0.0071586451654163,0.0732785383174344,0.0683234359841674,0.690047797882132,1.9275561240218224,0.0050153608049455,0.0045456270901494,9461,238,119,119,476,238,238,12,6,6,-340.3407856091319,-163.53841294442003,-176.8023726647118,704.6815712182638,339.07682588884006,365.6047453294236,754.6665854690408,359.91044993086894,386.4383693714525,476,238,238,12,6,6,-1142.4074372795594,-557.0164813047109,-585.3909559748486,2308.814874559119,1126.0329626094217,1182.7819119496971,2358.799888809896,1146.8665866514505,1203.615535991726,476,238,238,12,6,6,802.0666516704275,393.4780683602908,408.5885833101368,-1580.133303340855,-774.9561367205816,-805.1771666202735,-1530.148289090078,-754.1225126785528,-784.3435425782446,2023-09-21 08:33:46.107048+00:00,2023-09-21 08:34:21.739114+00:00,0 days 00:00:35.632000900,2023-09-21 08:33:46.146082+00:00,2023-09-21 08:34:05.106849+00:00,0 days 00:00:18.960936099
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.6072426894217162,,,0.6670856026021502,0.0745802228601561,0.0239446353168153,,,,,0.2788061395214811,0.3039367702524758,0.0107554281418562,0.0089304285898064,,,,,0.0049094663822285,0.0041614299674731,9461,238,119,119,476,238,238,8,4,4,-354.4730974343112,-171.11643618340133,-183.35666125090967,724.9461948686223,350.23287236680267,374.71332250181945,758.2695377024737,364.12195506148856,388.6024051965053,238,119,119,4,2,2,-1147.951844072143,-558.2886581170778,-589.6631859550652,2303.903688144286,1120.5773162341557,1183.3263719101303,2317.792770838972,1126.1355632203788,1188.8846188963537,238,119,119,4,2,2,793.4787466378319,387.1722219336765,406.3065247041554,-1578.957493275664,-770.344443867353,-808.6130494083109,-1565.068410580978,-764.78619688113,-803.0548024220878,2023-09-21 08:32:42.444437+00:00,2023-09-21 08:32:59.689731+00:00,0 days 00:00:17.245496,2023-09-21 08:32:42.483971+00:00,2023-09-21 08:32:52.022653+00:00,0 days 00:00:09.538316500
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.5132404527442198,0.3226535233806386,0.5132404527442198,0.3226535233806386,0.1193653562135673,0.0061155382808644,,,,,0.1878143168048837,0.1012054398712171,0.008440722218197,0.0059416507522944,0.0635934211232678,0.0889595794366055,0.5918169223805028,,0.0020513252984392,0.0020513252984392,9461,238,119,119,476,238,238,12,12,12,-279.3510817129113,-159.55752397241594,-119.79355774049532,582.7021634258226,343.1150479448319,263.58711548099063,632.6871776765996,384.7822960288896,305.2543635650483,476,238,238,12,12,12,-1089.841697343577,-552.4694944697754,-537.3722028738015,2203.683394687154,1128.9389889395509,1098.744405747603,2253.668408937931,1170.6062370236086,1140.4116538316607,476,238,238,12,12,12,810.4906156306656,392.9119704973595,417.57864513330617,-1596.9812312613312,-761.823940994719,-811.1572902666123,-1546.996217010554,-720.1566929106613,-769.4900421825546,2023-09-21 08:34:21.741617+00:00,2023-09-21 08:35:04.456759+00:00,0 days 00:00:42.715541,2023-09-21 08:34:21.778148+00:00,2023-09-21 08:34:50.454749+00:00,0 days 00:00:28.676606300
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.5197106568304694,0.3194027798244455,0.5197106568304694,0.3194027798244455,0.1124630746190859,0.0059471860232043,,,,,0.2788061395214811,0.3039367702524758,0.0107554281418562,0.0089304285898064,,,,,0.0020110820418135,0.0020110820418135,9461,238,119,119,476,238,238,8,6,6,-299.083400784844,-166.98160774385428,-132.1017930409896,614.166801569688,345.96321548770857,276.2035860819792,647.4901444035394,366.79683952973744,297.0372101240081,238,119,119,4,4,4,-1092.562147422676,-554.1538296775308,-538.408317745145,2193.124294845352,1116.3076593550616,1084.81663549029,2207.0133775400377,1127.4241533275076,1095.933129462736,238,119,119,4,2,2,793.4787466378319,387.1722219336765,406.3065247041554,-1578.957493275664,-770.344443867353,-808.6130494083109,-1565.068410580978,-764.78619688113,-803.0548024220878,2023-09-21 08:32:59.692233+00:00,2023-09-21 08:33:14.681591+00:00,0 days 00:00:14.989161700,2023-09-21 08:32:59.731767+00:00,2023-09-21 08:33:06.863886+00:00,0 days 00:00:07.132000399
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.3244641914163522,0.3244641914163522,0.3244641914163522,0.3244641914163522,0.1042384313532777,0.1042384313532777,,,,,0.1850140896212236,0.1850140896212236,0.0069362123900608,0.0069362123900608,0.0869146835964184,0.0869146835964184,0.8400236659997802,0.8400236659997802,0.0043883952145911,0.0043883952145911,9461,238,119,119,476,238,238,6,6,6,-298.3103593717024,-163.1858958399489,-135.12446353175358,608.6207187434047,338.3717916798978,282.24892706350715,633.6132258687933,359.20541572192667,303.082551105536,476,238,238,6,6,6,-1107.38466552451,-556.9261656256975,-550.4584998988125,2226.76933104902,1125.852331251395,1112.916999797625,2251.761838174408,1146.6859552934238,1133.7506238396538,476,238,238,6,6,6,809.0743061528076,393.74026978574864,415.33403636705896,-1606.1486123056152,-775.4805395714973,-818.6680727341179,-1581.1561051802266,-754.6469155294684,-797.834448692089,2023-09-21 08:33:32.435821+00:00,2023-09-21 08:33:46.104046+00:00,0 days 00:00:13.668323700,2023-09-21 08:33:32.480359+00:00,2023-09-21 08:33:41.768327+00:00,0 days 00:00:09.288349999
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.3297517972162276,0.3297517972162276,0.3297517972162276,0.3297517972162276,0.0988981185742121,0.0988981185742121,,,,,0.2947498172647286,0.2947498172647286,0.0097893410688357,0.0097893410688357,,,,,0.0042562050695943,0.0042562050695943,9461,238,119,119,476,238,238,4,4,4,-318.3189950194327,-172.34773192899831,-145.97126309043426,644.6379900388654,352.69546385799663,299.9425261808685,661.299661455791,366.5845465526825,313.8316088755544,238,119,119,2,2,2,-1111.276655696901,-559.2627938579158,-552.013861838985,2226.553311393802,1122.5255877158315,1108.02772367797,2233.497852741145,1128.083834702055,1113.5859706641932,238,119,119,2,2,2,792.9576606774682,386.9150619289175,406.04259874855074,-1581.9153213549364,-769.8301238578349,-808.0851974971015,-1574.9707800075937,-764.2718768716119,-802.5269505108785,2023-09-21 08:32:37.486184+00:00,2023-09-21 08:32:42.442435+00:00,0 days 00:00:04.956115699,2023-09-21 08:32:37.514709+00:00,2023-09-21 08:32:40.387174+00:00,0 days 00:00:02.872203100
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,mark,0.0112931515902934,0.0113658070678124,0.4942468297484824,0.4074674309433859,0.526940090652206,0.2946374379618781,0.1184748206478081,0.0044348297116604,,,,,0.1881367577707854,0.0960609300786713,0.0083444018990877,0.0060060910492983,0.0645785560721672,0.0891278666915867,0.5805931342990385,,0.0010803510124021,0.0020662004702448,9461,238,119,119,476,238,238,16,16,16,-279.1498614911766,-158.5051850267563,-120.64467646442012,590.2997229823532,349.0103700535126,273.28935292884023,656.9464086500559,404.5667008322562,328.8456837075838,476,238,238,16,16,16,-1089.635195711728,-551.2763605317831,-538.3588351799449,2211.270391423456,1134.5527210635662,1108.7176703598898,2277.9170770911587,1190.1090518423098,1164.2740011386334,476,238,238,16,16,16,810.4853342205515,392.7711755050268,417.7141587155248,-1588.970668441103,-753.5423510100536,-803.4283174310495,-1522.3239827734003,-697.98602023131,-747.871986652306,2023-09-21 08:40:46.496168+00:00,2023-09-21 08:41:43.900410+00:00,0 days 00:00:57.403935300,2023-09-21 08:40:46.541707+00:00,2023-09-21 08:41:18.205871+00:00,0 days 00:00:31.664101299
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,unmark,0.0112770197683931,0.0113658070678127,0.5049188091151349,0.4100982027532508,0.5358790027149196,0.2906409746270838,0.1108385846296808,0.0040038800099903,,,,,0.2788061395214811,0.3039367702524758,0.0107554281418562,0.0089304285898064,,,,,0.000921943325218,0.0020193197171173,9461,238,119,119,476,238,238,12,7,7,-298.889861530483,-165.68740741716135,-133.20245411332166,621.779723060966,345.3748148343227,280.40490822664333,671.764737311743,369.68070955002304,304.71080294234366,238,119,119,8,5,5,-1092.368608168315,-552.8596293508378,-539.5089788174771,2200.73721633663,1115.7192587016757,1089.0179576349542,2228.5153817260016,1129.6148761672334,1102.913575100512,238,119,119,4,2,2,793.4787466378319,387.1722219336765,406.3065247041554,-1578.957493275664,-770.344443867353,-808.6130494083109,-1565.068410580978,-764.78619688113,-803.0548024220878,2023-09-21 08:38:30.739713+00:00,2023-09-21 08:38:56.604900+00:00,0 days 00:00:25.865008099,2023-09-21 08:38:30.779747+00:00,2023-09-21 08:38:39.930098+00:00,0 days 00:00:09.150452300
