tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.15,0.0379870571013426,0.0391499891550042,-1.108145444558147,1.1081454445581465,0.7840357321541649,0.6271079407785389
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.15,0.0298494668480985,0.0651314339053155,-1.0364333894937898,1.0364333894937898,0.6261749886203274,0.484314367802351
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.15,0.03494125776472,0.0323306295584482,-1.108145444558147,1.1081454445581465,0.7569934571230434,0.6298553822493439
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1625,0.0253574012000825,0.0562091066348101,-0.9842349604463252,0.9842349604463252,0.6454353198126642,0.492143845078933
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1625,0.0285996661232641,0.0289186002022099,-1.048612736754834,1.048612736754834,0.8053383133287292,0.6415963471026127
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1625,0.024425485386619,0.0445232617605653,-0.984234960446325,0.984234960446325,0.6350888585372543,0.5065492562610696
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1625,0.0263206408826386,0.0200238749709923,-1.048612736754834,1.048612736754834,0.7753885106755862,0.648817314104529
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.175,0.0242891391557654,0.0416662844324154,-0.9345892910734802,0.93458929107348,0.6464817643642151,0.5077016089464257
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.175,0.0241633095516408,0.0251785644280038,-0.9925445480559236,0.992544548055923,0.8154782803359772,0.646202045384972
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.175,0.0201329019592315,0.0269781717814431,-0.9345892910734802,0.93458929107348,0.6423483250811055,0.5280044385720952
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.175,0.0190552657914977,0.0207290557387738,-0.9925445480559236,0.992544548055923,0.7921819312507171,0.6464659337335898
