tick,exchange,train_start,train_end,all_end,opt_method,vol,p,o,q,dist,a_u,a_q,tail,period,Q_T,Q_T_1,Q_a_q_T_1,CT_Q_binom_p,CT_Q_UC_LR,CT_Q_UC_p,CT_Q_CC_LR,CT_Q_CC_p,CT_Q_DQ_0_LR,CT_Q_DQ_0_p,CT_Q_DQ_1_LR,CT_Q_DQ_1_p,CT_Q_DQ_2_LR,CT_Q_DQ_2_p,CT_Q_DQ_3_LR,CT_Q_DQ_3_p,CT_Q_DQ_4_LR,CT_Q_DQ_4_p,CT_E_ZMD_t,CT_E_ZMD_b_opt_CB,CT_E_ZMD_1000_0:0_F,S_Q_G,S_E_AL,S_E_NZ,S_E_FZG
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,all,12209,900,0.0737161110656073,0.6062538065385055,0.2916238357447582,0.5891818124740911,7.208964934276082,0.0272015188507511,0.2954229768131684,0.8626799722146066,7.804670994727406,0.0502258589843641,12.55038511018366,0.0136950301555522,15.684259654579227,0.0078057968932153,21.64625059053679,0.0014031586619933,7.529581971442266,0.7939253981230315,1.0,22.337716568906444,-33017.25135704815,1866.727052268541,168.22999334513693
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,train,9988,744,0.0744893872647176,0.8642616062747943,0.0376154846753706,0.8462172890778747,0.3008908577949114,0.8603246775926131,0.2997683933729285,0.8608076550321596,0.5119267294450798,0.9162634561563776,6.77457544416693,0.1482913266234132,6.993900939710945,0.2210942981403535,11.768238895287968,0.0673433779486021,5.943597170036618,0.9462931858031608,1.0,18.28476781143411,-27035.67976894709,1526.4698424273772,137.63494300371514
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,left,forecast,2221,156,0.0702386312471859,0.4203739788879841,0.7403696937135464,0.3895424777758669,23.489146693083057,7.932253834108671e-06,2.5866588295684854,0.2743558164717562,33.078629634194186,3.099990837363009e-07,34.10133866833596,7.103652462925325e-07,47.03065133919901,5.6003035542318e-09,47.14305646918712,1.7521384454433075e-08,5.088045939844335,1.212467521034393,1.0,4.052948757472334,-5981.5715881010565,340.2572098411638,30.595050341421803
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,all,12209,696,0.0570071258907363,5.016912463241873e-15,61.75354627332308,3.885780586188048e-15,64.58892170437139,9.43689570931383e-15,57.00275491040043,4.187761248886091e-13,59.08265931116169,9.230394226733551e-13,61.22045968851226,1.606825783539989e-12,68.83371422662016,1.791899961745003e-13,70.8872932606217,2.688960165642129e-13,1.7768110913466884,2.080333256733704,0.975,20.21909512477816,-34133.4733164644,1790.3895853491315,156.0808240838563
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,train,9988,587,0.0587705246295554,2.1460695927191948e-10,40.75045663334095,1.729629772739827e-10,42.18327367565144,6.918604578132204e-10,37.92331394264628,5.821796378313593e-09,38.99500061144192,1.7399030438625118e-08,41.91213695311721,1.7396011076087348e-08,47.260992894411466,5.0262525252975365e-09,48.63771093742023,8.810293161687355e-09,1.770704904347518,2.6754834911544707,0.962,16.799084482652233,-27766.09823927668,1476.250169046408,129.71246861667697
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.075,right,forecast,2221,109,0.0490769923457901,1.037220657434242e-06,24.29535156782617,8.263824941012743e-07,27.226638199345985,1.2240823463738335e-06,21.629587229740864,2.009994227347711e-05,23.230539169308937,3.6152375633591305e-05,23.223714238819458,0.0001142387836522,25.845234323697724,9.561921628553628e-05,26.810387471707703,0.0001571427701896,0.4069902987750195,2.3627579013310545,0.688,3.4200106421259275,-6367.375077187719,314.13941630272376,26.36835546717931
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,all,12209,877,0.0718322548939307,0.7935049991614103,0.0811862862137786,0.775696183332065,6.234446419344749,0.0442799540138856,0.0926645430515814,0.9547246816553064,6.707955487776869,0.0818123243540611,10.712743335412169,0.0299893204515541,13.680347898718852,0.0177725935672414,18.24709863205945,0.0056434610763743,7.462040637035378,1.0508102455381596,1.0,21.8194603897398,-32913.90838864455,1876.87316798664,169.26029972472173
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,train,9988,726,0.0726872246696035,0.9384828311727028,0.0052024563428858,0.942499999568316,0.1133104490108962,0.944919798402408,0.4198841627726358,0.8106311952455916,0.4872531495214416,0.9216827810641804,5.3426916265832345,0.2539069260916251,5.8638420924749015,0.3196939756778267,9.435692743479612,0.1505167833620687,5.84778147597947,0.8487263566400425,1.0,17.85337175665311,-26955.30660515696,1534.4646964386304,138.42284121096387
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,left,forecast,2221,151,0.0679873930661864,0.4369025483979054,0.6858744959986325,0.4075711723562122,23.700611553532557,7.136373835758825e-06,2.173513376833917,0.3373087188109152,33.34467939545556,2.7241537392530546e-07,34.11120674439764,7.070621279581246e-07,42.50753615770912,4.6494233241212164e-08,42.699373854363024,1.337612269836086e-07,5.152242484860099,0.262543256029186,1.0,3.966088633086688,-5958.601783487591,342.4084715480093,30.83745851375784
CAC,EUREX,1975-01-01,2015-01-01,2023-09-16,SLSQP,GARCH,1,0,1,norm,0,0.0725,right,all,12209,674,0.0552051765091326,1.9850139099473434e-14,58.84783407424493,1.6986412276764895e-14,61.57966305394893,4.2521541843143495e-14,54.3788345123262,1.5552004128949193e-12,56.407380106704125,3.43880479647396e-12,58.48748695457999,6.02895511292445e-12,65.77286790305006,7.747136265834342e-13,67.30222098115577,1.4597212327771558e-12,1.75926530547626,2.167698437536324,0.972,19.725416131406263,-34058.203429547604,1798.4205032656937,156.8043652859687
